sample_id,site_id,site_name,sample_date
153296,28266,XE-SS-5099,2014-06-14
153297,10704,MP-SS-2116,2014-06-21
153298,13574,OT-SS-7145,2014-06-20
153300,28330,XN-SS-4145,2014-06-21
153302,11291,MS-SS-3129,2014-07-07
153303,28313,XN-RO-4086,2014-08-04
153305,11286,MS-SS-3118,2014-08-18
153306,13545,OT-LS-7024,2014-08-28
153307,13552,OT-RM-7082,2014-07-24
153385,18597,SFK-Bear-A,2014-07-03
153386,17621,R5BIO-420,2014-07-03
153387,18585,SFBRCK-01,2014-07-03
153388,6326,D-Ancestor,2014-07-03
153389,6619,E-Baker,2014-07-03
153390,18598,SFK-Eel-Michael,2014-05-12
153391,9377,Lacks-FaulknerP,2014-06-10
153420,20404,STCNM,2014-08-13
153421,5544,CURECANTI_CK_1,2014-08-27
153422,9615,LF_GUN_GATEVIEW,2014-08-19
153423,4488,CIMCPG-1,2014-08-07
153424,6596,E_ELK_MOUTH,2014-08-14
153425,17803,RED_CK_MOUTH,2014-09-02
153426,19690,SOAP_AB_CHANCE,2014-08-25
153427,26175,"WEST ELK CR BELOW FOREST BOUNDARY NR SAPINERO, CO",2014-08-26
153428,2943,BEAVER_HWY_50,2014-08-06
153429,16508,PINE_HWY_50,2014-08-18
153430,4330,"CEBOLLA CREEK AT POWDERHORN, CO",2014-08-21
153431,4642,CO10231,2014-08-11
153472,18566,SF1.0,2014-10-06
153473,18644,SFREF1,2014-10-06
153474,18567,SF3.0,2014-10-06
153475,11565,MXR-downstream,2014-10-06
153477,10440,MIDCRMID,2014-10-06
153480,10082,M3.1,2014-10-17
153481,10084,M7.9,2014-10-17
153508,3917,C4_05_1,2014-09-11
153874,1576,4939102,2014-08-06
153878,1582,4939108,2014-07-23
153883,1589,4939115,2014-09-25
153887,1594,4939119,2014-09-10
153888,1597,4939123,2014-05-30
153902,1621,4939147,2014-07-21
153905,1579,4939105,2014-05-28
153912,1586,4939112,2014-10-08
153915,1596,4939122,2014-10-09
153927,1576,4939102,2014-08-06
153928,1582,4939108,2014-07-23
154339,18566,SF1.0,2015-06-23
154340,18644,SFREF1,2015-06-22
154341,18567,SF3.0,2015-06-22
154342,10082,M3.1,2015-06-22
154344,10084,M7.9,2015-06-23
154346,10440,MIDCRMID,2015-06-23
154347,10077,M1.2,2015-06-23
154348,11565,MXR-downstream,2015-06-23
155370,7506,FiCr00-11,2014-09-18
155371,10491,MillCrS03-13,2014-09-18
155372,10491,MillCrS03-13,2014-10-30
155373,11798,NFNCr-FPS01-14,2014-07-24
155422,6768,ELKE,2015-09-04
155423,16648,PNTH,2015-09-04
155430,11780,NFHC-4,2015-09-15
155431,8577,HCH-1,2015-09-14
155480,5194,COR-Pump,2015-10-31
155481,5168,COR-KBDitc,2015-09-09
155482,5169,COR-KidPond,2015-09-09
155483,5163,COR-abvHSR,2015-09-09
155484,5165,COR-blwWG,2015-09-09
155485,7639,FR-abvGSD,2015-09-09
155486,17779,RC-blwMC,2015-09-09
155487,17781,RC-CR8315,2015-09-09
155488,7645,FR-CR83,2015-09-09
155489,7640,FR-abvWPSD,2015-09-10
155490,7661,FR-Rendezvous,2015-09-10
155491,7638,FR-abvFrCan,2015-09-11
155595,18566,SF1.0,2015-09-15
155596,18567,SF3.0,2015-09-15
155597,18644,SFREF1,2015-09-15
155598,10082,M3.1,2015-09-15
155600,10080,M2.0,2015-09-15
155601,10077,M1.2,2015-09-15
155602,11565,MXR-downstream,2015-09-15
155605,10084,M7.9,2015-09-16
155610,6814,EL-SS-8144,2015-08-29
155611,6816,EL-SS-8160,2015-08-30
155612,20969,TP-SS-8267,2015-08-31
155613,6815,EL-SS-8156,2015-09-12
155614,6817,EL-SS-8172,2015-09-13
155615,20968,TP-SS-8252,2015-09-14
155616,20970,TP-SS-8273,2015-09-15
155617,20971,TP-SS-8290,2015-09-17
155737,6725,efp1,2015-08-12
155738,6726,efp2,2015-08-12
155739,6727,efp3,2015-08-13
155806,28317,XN-SS-4104,2015-06-17
155807,28340,XS-LS-6007,2015-06-16
155808,28343,XS-LS-6016,2015-06-10
155809,28365,XS-SS-6095,2015-06-14
155810,28370,XS-SS-6105,2015-06-18
155811,28372,XS-SS-6111,2015-06-12
155812,28376,XS-SS-6117,2015-06-14
155813,28379,XS-SS-6121,2015-06-17
155814,28383,XS-SS-6133,2015-06-14
155815,13563,OT-SS-7112,2015-06-17
155816,10549,MN-RM-1071,2015-06-20
155817,10550,MN-RM-1072,2015-06-19
155818,10657,MP-LS-2005,2015-06-21
155819,10669,MP-RM-2052,2015-06-26
155820,10670,MP-RO-2057,2015-06-23
155821,10671,MP-RO-2060,2015-06-24
155822,13557,OT-RO-7093,2015-06-28
155823,28279,XE-SS-5146,2015-06-22
155824,28296,XN-LS-4018,2015-06-29
155825,10540,MN-LS-1017,2015-07-10
155826,10541,MN-LS-1018,2015-07-06
155827,10578,MN-SS-1146,2015-07-07
155828,28204,XE-LS-5026,2015-06-27
155829,28289,XN-LS-4007,2015-07-04
155830,28296,XN-LS-4018,2015-07-12
155831,28299,XN-LS-4021,2015-07-09
155832,28302,XN-LS-4028,2015-07-11
155833,28319,XN-SS-4114,2015-07-03
155834,28323,XN-SS-4120,2015-07-10
